name,office,party,image url,website,facebook,mailing address
Mike Westergren,"Justice, Supreme Court, Place 3",DEM,,,,"P.O. Box 3371 Corpus Christi, TX 78404"
Debra Lehrmann,"Justice, Supreme Court, Place 3",REP,https://pbs.twimg.com/profile_images/517081299169722368/Peift3ga.jpeg,http://www.judgedebralehrmann.com/wp/,https://www.facebook.com/JudgeDebraLehrmann,"PO Box 1565 Austin, TX 78767"
Michael Massengale,"Justice, Supreme Court, Place 3",REP,http://wac.450f.edgecastcdn.net/80450F/kfyo.com/files/2015/06/Michael-Massengale.jpg?w=600&h=0&zc=1&s=0&a=t&q=89,http://www.michaelmassengale.com/,https://www.facebook.com/JusticeMassengale/,"3733-1 Westheimer, #652 Houston, TX 77027"
Dori Contreras Garza,"Justice, Supreme Court, Place 5",DEM,https://scontent-mia1-1.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1381540_677407918950164_1141158662_n.jpg?oh=43fe645c68f5a1b814984404db831db2&oe=56FFEFD6,http://www.justicedori.com/,https://www.facebook.com/Justice-Dori-Contreras-Garza-217453434945617/,"P.O. Box 1457 Edinburg, TX 78540"
Rick Green,"Justice, Supreme Court, Place 5",REP,http://4580-presscdn-0-3.pagely.netdna-cdn.com/wp-content/uploads/2015/12/rick-without-tie.jpg,http://rickgreen4texas.com/,https://www.facebook.com/PatriotRickGreen,"PO Box 900 Dripping Springs, Texas 78620"
Paul Green,"Justice, Supreme Court, Place 5",REP,https://scontent-mia1-1.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/1936166_105504976087_2311941_n.jpg?oh=697feed3f3951d0b49f1c44ea7cb7b50&oe=5740BD8F,http://texansforjusticepaulgreen.com/,https://www.facebook.com/JusticePaulGreen/,"PO Box 1567 Austin, TX 78767"
Savannah Robinson,"Justice, Supreme Court, Place 9",DEM,,,,"1822 Main Danbury, TX 77534"
Eva Guzman,"Justice, Supreme Court, Place 9",REP,https://upload.wikimedia.org/wikipedia/commons/1/10/Eva_Guzman.jpg,,,"815 Brazos, PMB 279 Austin , TX 78701"
Joe Pool,"Justice, Supreme Court, Place 9",REP,https://scontent-mia1-1.xx.fbcdn.net/hphotos-xft1/v/t1.0-9/12401028_621631131310907_918157174242368514_n.png?oh=a64f929273f2e440b689758350b09ecd&oe=5748A7B8,,,"3800 Creek Road Dripping Springs, TX 78620"
"Lawrence ""Larry"" Meyers","Judge, Court of Criminal Appeals Place 2",DEM,http://www.austinchronicle.com/imager/b/original/1499379/66ab/meyers_lawrence_2006_.jpg,,,"4521 Rimrock Trail Austin, TX 78723"
